Year,Series_conference,Series_round,Date_start,Date_end,Team_win,Seed_win,Wins_win,Team_lose,Seed_lose,Wins_lose,Fav_team,Fav_odds,Underdog_team,Underdog_odds
1982,E,3,1982-04-21,1982-04-23,Philadelphia 76ers,3,2,Atlanta Hawks,6,0,NA,0,NA,0
1982,E,3,1982-04-20,1982-04-23,Washington Bullets,5,2,New Jersey Nets,4,0,NA,0,NA,0
1982,W,3,1982-04-20,1982-04-24,Phoenix Suns,5,2,Denver Nuggets,4,1,NA,0,NA,0
1982,W,3,1982-04-21,1982-04-25,Seattle SuperSonics,3,2,Houston Rockets,6,1,NA,0,NA,0
1982,E,2,1982-04-25,1982-05-05,Boston Celtics,1,4,Washington Bullets,5,1,NA,0,NA,0
1982,E,2,1982-04-25,1982-05-07,Philadelphia 76ers,3,4,Milwaukee Bucks,2,2,NA,0,NA,0
1982,W,2,1982-04-27,1982-05-02,Los Angeles Lakers,1,4,Phoenix Suns,5,0,NA,0,NA,0
1982,W,2,1982-04-27,1982-05-05,San Antonio Spurs,2,4,Seattle SuperSonics,3,1,NA,0,NA,0
1982,E,1,1982-05-09,1982-05-23,Philadelphia 76ers,3,4,Boston Celtics,1,3,NA,0,NA,0
1982,W,1,1982-05-09,1982-05-15,Los Angeles Lakers,1,4,San Antonio Spurs,2,0,NA,0,NA,0
1982,F,0,1982-05-27,1982-06-08,Los Angeles Lakers,1,4,Philadelphia 76ers,3,2,NA,0,NA,0
1981,E,3,1981-03-31,1981-04-03,Chicago Bulls,5,2,New York Knicks,4,0,NA,0,NA,0
1981,E,3,1981-03-31,1981-04-02,Philadelphia 76ers,3,2,Indiana Pacers,6,0,NA,0,NA,0
1981,W,3,1981-04-01,1981-04-05,Houston Rockets,6,2,Los Angeles Lakers,3,1,NA,0,NA,0
1981,W,3,1981-04-01,1981-04-05,Kansas City Kings,5,2,Portland Trail Blazers,4,1,NA,0,NA,0
1981,E,2,1981-04-05,1981-04-12,Boston Celtics,1,4,Chicago Bulls,5,0,NA,0,NA,0
1981,E,2,1981-04-05,1981-04-19,Philadelphia 76ers,3,4,Milwaukee Bucks,2,3,NA,0,NA,0
1981,W,2,1981-04-07,1981-04-17,Houston Rockets,6,4,San Antonio Spurs,2,3,NA,0,NA,0
1981,W,2,1981-04-07,1981-04-19,Kansas City Kings,5,4,Phoenix Suns,1,3,NA,0,NA,0
1981,E,1,1981-04-21,1981-05-03,Boston Celtics,1,4,Philadelphia 76ers,3,3,NA,0,NA,0
1981,W,1,1981-04-21,1981-04-29,Houston Rockets,6,4,Kansas City Kings,5,1,NA,0,NA,0
1981,F,0,1981-05-05,1981-05-14,Boston Celtics,1,4,Houston Rockets,6,2,NA,0,NA,0
1980,E,3,1980-04-02,1980-04-06,Houston Rockets,4,2,San Antonio Spurs,5,1,NA,0,NA,0
1980,E,3,1980-04-02,1980-04-04,Philadelphia 76ers,3,2,Washington Bullets,6,0,NA,0,NA,0
1980,W,3,1980-04-02,1980-04-06,Phoenix Suns,4,2,Kansas City Kings,5,1,NA,0,NA,0
1980,W,3,1980-04-02,1980-04-06,Seattle SuperSonics,3,2,Portland Trail Blazers,6,1,NA,0,NA,0
1980,E,2,1980-04-09,1980-04-14,Boston Celtics,1,4,Houston Rockets,4,0,NA,0,NA,0
