country,vs,team_score,vs_score,date,#,Players,Min,Pts,FG,2Pts,3Pts,FT,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF
Australia,Nigeria,84,67,2507,14,Duop Thomas Reath,01:16,2,1/1,1/1,0/0,0/0,0,0,0,0,0,0,0,0,-2,2
Australia,Nigeria,84,67,2507,15,Nick Kay,26:06,12,5/10,5/9,0/1,2/2,4,4,8,3,4,1,0,1,17,18
Nigeria,Australia,67,84,2507,0,KZ Okpala,16:33,4,2/5,2/4,0/1,0/2,1,2,3,1,4,1,0,0,-14,2
Nigeria,Australia,67,84,2507,3,Caleb Agada,13:52,2,1/3,1/2,0/1,0/2,0,3,3,3,1,3,1,3,7,5
Nigeria,Australia,67,84,2507,8,Ekpe Udoh,04:34,0,0/1,0/1,0/0,0/0,0,1,1,0,0,0,0,1,-1,1
Nigeria,Australia,67,84,2507,10,Chimezie Metu,14:17,2,1/3,1/2,0/1,0/0,1,4,5,2,2,1,2,1,3,9
Nigeria,Australia,67,84,2507,11,Obi Emegano,19:15,12,4/7,1/3,3/4,1/2,0,1,1,2,1,3,1,0,-11,9
Nigeria,Australia,67,84,2507,13,Miye Oni,23:13,2,1/3,1/2,0/1,0/0,0,2,2,2,2,2,0,0,-16,2
Nigeria,Australia,67,84,2507,15,Jahlil Okafor,11:17,4,2/2,2/2,0/0,0/0,2,2,4,0,1,1,0,0,-5,7
Nigeria,Australia,67,84,2507,20,Josh Okogie,22:51,11,3/7,3/5,0/2,5/5,0,2,2,3,1,3,2,1,-9,12
Nigeria,Australia,67,84,2507,22,Nnamdi Vincent,25:26,7,1/7,0/1,1/6,4/8,1,4,5,1,3,1,1,0,-21,3
Nigeria,Australia,67,84,2507,33,Jordan Nwora,23:31,10,4/12,2/6,2/6,0/1,0,3,3,0,2,4,4,0,-7,4
Nigeria,Australia,67,84,2507,34,Ike Nwamu,03:39,3,1/2,0/0,1/2,0/0,0,1,1,0,2,0,0,0,1,3
Nigeria,Australia,67,84,2507,55,Precious Achiuwa,21:32,10,4/9,4/9,0/0,2/4,2,4,6,2,3,5,3,1,-12,10
France,USA,83,76,2507,1,Frank Ntilikina,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
France,USA,83,76,2507,3,Timothé Luwawu-Cabarrot,15:07,2,1/6,1/3,0/3,0/0,0,2,2,1,4,0,1,0,-8,1
France,USA,83,76,2507,4,Thomas  Heurtel,17:12,5,2/5,1/1,1/4,0/0,1,0,1,2,1,2,0,0,4,3
France,USA,83,76,2507,5,Nicolas Batum,30:54,5,1/4,0/1,1/3,2/2,0,4,4,5,2,0,1,0,8,12
France,USA,83,76,2507,7,Guerschon Yabusele,18:34,6,3/4,3/4,0/0,0/0,1,3,4,1,3,1,0,0,-13,9
France,USA,83,76,2507,10,Evan Fournier,33:47,28,11/22,7/10,4/12,2/3,1,3,4,1,2,5,1,0,10,17
France,USA,83,76,2507,12,Nando De Colo,32:09,13,4/11,2/6,2/5,3/4,1,4,5,5,3,3,2,0,14,14
France,USA,83,76,2507,17,Vincent  Poirier,10:47,3,1/2,1/2,0/0,1/1,0,4,4,2,1,0,0,0,12,8
France,USA,83,76,2507,21,Andrew Albicy,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
France,USA,83,76,2507,27,Rudy Gobert,28:41,14,5/6,5/6,0/0,4/8,2,7,9,1,2,0,0,0,4,19
France,USA,83,76,2507,28,Petr Cornelie,01:30,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,1,0
France,USA,83,76,2507,93,Moustapha Fall,11:19,7,1/2,1/2,0/0,5/6,0,4,4,0,2,2,0,0,3,7
USA,France,76,83,2507,4,Keldon Johnson,09:18,0,0/1,0/1,0/0,0/0,0,1,1,1,1,0,0,0,-11,1
USA,France,76,83,2507,5,Zach Lavine,18:15,8,3/6,1/2,2/4,0/0,2,0,2,3,3,1,0,0,-7,9
USA,France,76,83,2507,6,Damian  Lillard,27:48,11,3/10,0/1,3/9,2/3,1,2,3,3,2,4,1,0,0,6
USA,France,76,83,2507,7,Kevin Durant,20:40,10,4/12,3/6,1/6,1/1,0,2,2,2,5,0,0,0,2,6
USA,France,76,83,2507,8,Khris Middleton,05:27,0,0/2,0/2,0/0,0/0,0,1,1,1,0,0,1,0,0,1
USA,France,76,83,2507,9,Jerami Grant,0:0,0,0/0,0/0,0/0,0/0,0,0,0,0,0,0,0,0,0,0
USA,France,76,83,2507,10,Jayson  Tatum,23:42,9,3/9,2/4,1/5,2/2,0,1,1,0,2,2,0,2,2,4
USA,France,76,83,2507,11,Javale McGee,01:55,2,0/1,0/1,0/0,2/2,1,0,1,0,1,0,0,0,-2,2
USA,France,76,83,2507,12,Jrue Holiday,27:52,18,5/13,2/7,3/6,5/6,3,4,7,4,2,1,1,0,-2,20
USA,France,76,83,2507,13,Bam Adebayo,25:23,12,5/8,5/8,0/0,2/4,4,6,10,2,3,2,2,1,-6,20
USA,France,76,83,2507,14,Draymond Green,21:10,2,1/1,1/1,0/0,0/0,0,2,2,4,4,0,2,1,-3,11
USA,France,76,83,2507,15,Devin Booker,18:30,4,1/6,1/4,0/2,2/3,0,2,2,3,2,2,1,0,-8,2
