country,vs,team_score,vs_score,#,Players,Pts,OREB,DREB,REB,AST,PF,TO,STL,BLK,+/-,EFF,FGS,FGA,2PtsS,2PtsA,3PtsS,3PtsA,FTS,FTA,day,month,Sec
Australia,Nigeria,84,67,14,Duop Thomas Reath,2,0,0,0,0,0,0,0,0,-2,2,1,1,1,1,0,0,0,0,25,07,76
Australia,Nigeria,84,67,15,Nick Kay,12,4,4,8,3,4,1,0,1,17,18,5,10,5,9,0,1,2,2,25,07,1566
Nigeria,Australia,67,84,0,KZ Okpala,4,1,2,3,1,4,1,0,0,-14,2,2,5,2,4,0,1,0,2,25,07,993
Nigeria,Australia,67,84,3,Caleb Agada,2,0,3,3,3,1,3,1,3,7,5,1,3,1,2,0,1,0,2,25,07,832
Nigeria,Australia,67,84,8,Ekpe Udoh,0,0,1,1,0,0,0,0,1,-1,1,0,1,0,1,0,0,0,0,25,07,274
Nigeria,Australia,67,84,10,Chimezie Metu,2,1,4,5,2,2,1,2,1,3,9,1,3,1,2,0,1,0,0,25,07,857
Nigeria,Australia,67,84,11,Obi Emegano,12,0,1,1,2,1,3,1,0,-11,9,4,7,1,3,3,4,1,2,25,07,1155
Nigeria,Australia,67,84,13,Miye Oni,2,0,2,2,2,2,2,0,0,-16,2,1,3,1,2,0,1,0,0,25,07,1393
Nigeria,Australia,67,84,15,Jahlil Okafor,4,2,2,4,0,1,1,0,0,-5,7,2,2,2,2,0,0,0,0,25,07,677
Nigeria,Australia,67,84,20,Josh Okogie,11,0,2,2,3,1,3,2,1,-9,12,3,7,3,5,0,2,5,5,25,07,1371
Nigeria,Australia,67,84,22,Nnamdi Vincent,7,1,4,5,1,3,1,1,0,-21,3,1,7,0,1,1,6,4,8,25,07,1526
Nigeria,Australia,67,84,33,Jordan Nwora,10,0,3,3,0,2,4,4,0,-7,4,4,12,2,6,2,6,0,1,25,07,1411
Nigeria,Australia,67,84,34,Ike Nwamu,3,0,1,1,0,2,0,0,0,1,3,1,2,0,0,1,2,0,0,25,07,219
Nigeria,Australia,67,84,55,Precious Achiuwa,10,2,4,6,2,3,5,3,1,-12,10,4,9,4,9,0,0,2,4,25,07,1292
France,USA,83,76,1,Frank Ntilikina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,07,0
France,USA,83,76,3,Timothé Luwawu-Cabarrot,2,0,2,2,1,4,0,1,0,-8,1,1,6,1,3,0,3,0,0,25,07,907
France,USA,83,76,4,Thomas  Heurtel,5,1,0,1,2,1,2,0,0,4,3,2,5,1,1,1,4,0,0,25,07,1032
France,USA,83,76,5,Nicolas Batum,5,0,4,4,5,2,0,1,0,8,12,1,4,0,1,1,3,2,2,25,07,1854
France,USA,83,76,7,Guerschon Yabusele,6,1,3,4,1,3,1,0,0,-13,9,3,4,3,4,0,0,0,0,25,07,1114
France,USA,83,76,10,Evan Fournier,28,1,3,4,1,2,5,1,0,10,17,11,22,7,10,4,12,2,3,25,07,2027
France,USA,83,76,12,Nando De Colo,13,1,4,5,5,3,3,2,0,14,14,4,11,2,6,2,5,3,4,25,07,1929
France,USA,83,76,17,Vincent  Poirier,3,0,4,4,2,1,0,0,0,12,8,1,2,1,2,0,0,1,1,25,07,647
France,USA,83,76,21,Andrew Albicy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,07,0
France,USA,83,76,27,Rudy Gobert,14,2,7,9,1,2,0,0,0,4,19,5,6,5,6,0,0,4,8,25,07,1721
